model_name,predictor,model_location,accuracy,f-1 score,recall,precision,auc_roc,average_precision,brier_score_loss
20190406-163309-LightGBM-no-search.pkl,pysch,../model/20190406-163309-LightGBM-no-search.pkl,0.9865633070000001,0.648648649,0.489795918,0.96,0.9685870109999999,0.783949929,0.013436693000000001
LightGBM-grid-search-20190427-134642.pkl,stringedQuestion,../model/LightGBM-grid-search-20190427-134642.pkl,0.9839793281653747,0.6593406593406593,0.5769230769230769,0.7692307692307693,0.9927284611299482,0.7845655217758344,0.016020671834625324
LightGBM-grid-search-20190427-134642.pkl,leading,../model/LightGBM-grid-search-20190427-134642.pkl,0.9974160206718347,0.0,0.0,0.0,0.9873575129533678,0.1227652782000608,0.002583979328165375
LightGBM-grid-search-20190427-134642.pkl,Symptom,../model/LightGBM-grid-search-20190427-134642.pkl,0.7498708010335917,0.12949640287769784,0.07547169811320754,0.45569620253164556,0.5226725677459431,0.2622991429729895,0.2501291989664083
LightGBM-grid-search-20190427-134642.pkl,PMH,../model/LightGBM-grid-search-20190427-134642.pkl,0.9503875968992248,0.0,0.0,0.0,0.5303946891426501,0.058854323349232615,0.04961240310077519
LightGBM-grid-search-20190427-134642.pkl,MEDS,../model/LightGBM-grid-search-20190427-134642.pkl,0.9948320413436692,0.75,0.625,0.9375,0.9956174777603348,0.8402888975812924,0.00516795865633075
LightGBM-grid-search-20190427-134642.pkl,ALLG,../model/LightGBM-grid-search-20190427-134642.pkl,0.9979328165374677,0.8333333333333333,0.7142857142857143,1.0,0.9941250836617832,0.8779887130167634,0.0020671834625322996
LightGBM-grid-search-20190427-134642.pkl,FAMHx,../model/LightGBM-grid-search-20190427-134642.pkl,0.9901808785529715,0.8549618320610686,0.7887323943661971,0.9333333333333333,0.9902375627153479,0.9076676553122754,0.009819121447028423
LightGBM-grid-search-20190427-134642.pkl,lifestyle,../model/LightGBM-grid-search-20190427-134642.pkl,0.9912144702842377,0.746268656716418,0.6578947368421053,0.8620689655172413,0.9687803456981939,0.7582567648673724,0.008785529715762274
LightGBM-grid-search-20190427-134642.pkl,pysch,../model/LightGBM-grid-search-20190427-134642.pkl,0.986046511627907,0.6301369863013699,0.46938775510204084,0.9583333333333334,0.9641504533945073,0.7763770197253406,0.013953488372093023
LightGBM-grid-search-20190427-134642.pkl,SOCHx,../model/LightGBM-grid-search-20190427-134642.pkl,0.7488372093023256,0.008163265306122448,0.03636363636363636,0.004597701149425287,0.482495164410058,0.02584874886398786,0.25116279069767444
LightGBM-grid-search-20190427-134642.pkl,sexualHistory,../model/LightGBM-grid-search-20190427-134642.pkl,0.9633074935400516,0.0,0.0,0.0,0.7313568099430346,0.006595384595469127,0.03669250645994832
LightGBM-grid-search-20190427-134642.pkl,substanceUse,../model/LightGBM-grid-search-20190427-134642.pkl,0.9679586563307494,0.0,0.0,0.0,0.7267878104357033,0.054401749280058184,0.03204134366925065
LightGBM-grid-search-20190427-134642.pkl,PE,../model/LightGBM-grid-search-20190427-134642.pkl,0.8852713178294573,0.0,0.0,0.0,0.3305507246376812,0.07647851830417668,0.11472868217054263
LightGBM-grid-search-20190427-134642.pkl,FORM,../model/LightGBM-grid-search-20190427-134642.pkl,0.9136950904392764,0.6143187066974597,0.5635593220338984,0.6751269035532995,0.8545555211939228,0.5360802608262967,0.08630490956072351
LightGBM-grid-search-20190427-134642.pkl,supportProvision,../model/LightGBM-grid-search-20190427-134642.pkl,0.98656330749354,0.6388888888888888,0.5227272727272727,0.8214285714285714,0.9899043315225229,0.7897403139449239,0.013436692506459949
LightGBM-grid-search-20190427-134642.pkl,transition,../model/LightGBM-grid-search-20190427-134642.pkl,0.9002583979328166,0.0,0.0,0.0,0.32986739879665866,0.0474333141204012,0.09974160206718347
